INLINE WalkingSoundTable,Sound,,foot: 0,horse: 1,armor: 4,flier: 2,peg: 3,7: zombie,11: phantom,8: skeleton,9: spider,10: dog,12: gorgon,6: dracozombie
Light Mage (F),0,,,,,,,,,,,,,
Arch Knight,1,,,,,,,,,,,,,
Bow Knight,1,,,,,,,,,,,,,
Tent,0,,,,,,,,,,,,,
Medic,3,,,,,,,,,,,,,
Harrier,3,,,,,,,,,,,,,
Wanderer,0,,,,,,,,,,,,,
0x95,0,,,,,,,,,,,,,
Brawler,0,,,,,,,,,,,,,
0x97,0,,,,,,,,,,,,,
Butler,0,,,,,,,,,,,,,
Telos,0,,,,,,,,,,,,,
Grand Telos,1,,,,,,,,,,,,,
Duke Knight,1,,,,,,,,,,,,,
Ballistician,4,,,,,,,,,,,,,
Axe Armor,4,,,,,,,,,,,,,
Archfiend,6,,,,,,,,,,,,,
Ray Bishop,0,,,,,,,,,,,,,
Earth Dragon,6,,,,,,,,,,,,,
Divine Dragon,6,,,,,,,,,,,,,
Mage Dragon,6,,,,,,,,,,,,,
Ice Dragon,0,,,,,,,,,,,,,
Gaiden Merc,0,,,,,,,,,,,,,
0xa5,0,,,,,,,,,,,,,
0xa6,0,,,,,,,,,,,,,
0xa7,0,,,,,,,,,,,,,
0xa8,0,,,,,,,,,,,,,
0xa9,0,,,,,,,,,,,,,
0xaa,0,,,,,,,,,,,,,
0xab,0,,,,,,,,,,,,,
0xac,0,,,,,,,,,,,,,
0xad,0,,,,,,,,,,,,,
0xae,0,,,,,,,,,,,,,
0xaf,0,,,,,,,,,,,,,
0xb0,0,,,,,,,,,,,,,
0xb1,0,,,,,,,,,,,,,
0xb2,0,,,,,,,,,,,,,
0xb3,0,,,,,,,,,,,,,
0xb4,0,,,,,,,,,,,,,
0xb5,0,,,,,,,,,,,,,
0xb6,0,,,,,,,,,,,,,
0xb7,0,,,,,,,,,,,,,
0xb8,0,,,,,,,,,,,,,
0xb9,0,,,,,,,,,,,,,
0xba,0,,,,,,,,,,,,,
0xbb,0,,,,,,,,,,,,,
0xbc,0,,,,,,,,,,,,,
0xbd,0,,,,,,,,,,,,,
0xbe,0,,,,,,,,,,,,,
0xbf,0,,,,,,,,,,,,,
0xc0,0,,,,,,,,,,,,,
0xc1,0,,,,,,,,,,,,,
0xc2,0,,,,,,,,,,,,,
0xc3,0,,,,,,,,,,,,,
0xc4,0,,,,,,,,,,,,,
0xc5,0,,,,,,,,,,,,,
0xc6,0,,,,,,,,,,,,,
0xc7,0,,,,,,,,,,,,,
0xc8,0,,,,,,,,,,,,,
0xc9,0,,,,,,,,,,,,,
0xca,0,,,,,,,,,,,,,
0xcb,0,,,,,,,,,,,,,
0xcc,0,,,,,,,,,,,,,
0xcd,0,,,,,,,,,,,,,
0xce,0,,,,,,,,,,,,,
0xcf,0,,,,,,,,,,,,,
0xd0,0,,,,,,,,,,,,,
0xd1,0,,,,,,,,,,,,,
0xd2,0,,,,,,,,,,,,,
0xd3,0,,,,,,,,,,,,,
0xd4,0,,,,,,,,,,,,,
0xd5,0,,,,,,,,,,,,,
0xd6,0,,,,,,,,,,,,,
0xd7,0,,,,,,,,,,,,,
0xd8,0,,,,,,,,,,,,,
0xd9,0,,,,,,,,,,,,,
0xda,0,,,,,,,,,,,,,
0xdb,0,,,,,,,,,,,,,
0xdc,0,,,,,,,,,,,,,
0xdd,0,,,,,,,,,,,,,
0xde,0,,,,,,,,,,,,,
0xdf,0,,,,,,,,,,,,,
0xe0,0,,,,,,,,,,,,,
0xe1,0,,,,,,,,,,,,,
0xe2,0,,,,,,,,,,,,,
0xe3,0,,,,,,,,,,,,,
0xe4,0,,,,,,,,,,,,,
0xe5,0,,,,,,,,,,,,,
0xe6,0,,,,,,,,,,,,,
0xe7,0,,,,,,,,,,,,,
0xe8,0,,,,,,,,,,,,,
0xe9,0,,,,,,,,,,,,,
0xea,0,,,,,,,,,,,,,
0xeb,0,,,,,,,,,,,,,
0xec,0,,,,,,,,,,,,,
0xed,0,,,,,,,,,,,,,
0xee,0,,,,,,,,,,,,,
0xef,0,,,,,,,,,,,,,
0xf0,0,,,,,,,,,,,,,
0xf1,0,,,,,,,,,,,,,
0xf2,0,,,,,,,,,,,,,
0xf3,0,,,,,,,,,,,,,
0xf4,0,,,,,,,,,,,,,
0xf5,0,,,,,,,,,,,,,
0xf6,0,,,,,,,,,,,,,
0xf7,0,,,,,,,,,,,,,
0xf8,0,,,,,,,,,,,,,
0xf9,0,,,,,,,,,,,,,
0xfa,0,,,,,,,,,,,,,
0xfb,0,,,,,,,,,,,,,
0xfc,0,,,,,,,,,,,,,
0xfd,0,,,,,,,,,,,,,
0xfe,0,,,,,,,,,,,,,
